charges_citation,race,age_at_booking,gender,booking_date,jail_id,bail_status,housing_location,charges,bail_amount,discharge_date_earliest
720 ILCS 5 16-1(a)(1) [1014000,BK,40,M,2012-12-30T00:00:00,2012-1230018,None,02-D4-NL-1-,THEFT/UNAUTHD CON/,10000,2013-01-14T06:20:57.289437
720 ILCS 5 12-5(a) [13581],LT,21,M,2012-12-30T00:00:00,2012-1230017,None,05-B-2-18-2,RECKLESS CONDUCT,10000,2013-01-03T01:34:32.382934
720 ILCS 550 4(b) [5015100],BK,25,M,2012-12-30T00:00:00,2012-1230016,NO BOND,C FEMALE,POSSESS CANNABIS/2.5-10 GRAMS,5000,2013-01-04T07:29:41.018054
720 ILCS 5 12-3.2(a)(1) [10416,BK,33,M,2012-12-30T00:00:00,2012-1230015,None,05-,,10000,2012-12-30T21:42:49.945169
720 ILCS 570 401(d)(i) [509720,BK,54,M,2012-12-30T00:00:00,2012-1230014,NO BOND,10-B-2-12-1,OTHER AMT NARCOTIC SCHED I&II,None,None
720 ILCS 5 12-3.2(a)(1) [10416,WH,30,M,2012-12-30T00:00:00,2012-1230013,NO BOND,C DISCH,DOMESTIC BATTERY/BODILY HARM,5000,2013-01-02T23:55:46.300388
189950 ILCS 72 50 [16718],BK,18,M,2012-12-30T00:00:00,2012-1230012,NO BOND,C DISCH,RETAIL THEFT/DISP MERCH/,20000,2013-01-04T05:34:37.180504
720 ILCS 5 12-3.2(a)(1) [10416,LT,27,M,2012-12-30T00:00:00,2012-1230011,None,03-AX-B4-1-,DOMESTIC BATTERY/BODILY HARM,5000,2012-12-30T19:05:48.698071
720 ILCS 5 12-3.4(a)(1) [16128,BK,23,M,2012-12-30T00:00:00,2012-1230010,None,02-D2-O-2-O,VIOLATE ORDER PROTECTION,25000,2013-01-15T05:44:05.776944
720 ILCS 5 12-3.2(a)(1) [10416,BK,26,M,2012-12-30T00:00:00,2012-1230009,None,01-E-2-18-2,DOMESTIC BATTERY/BODILY HARM,5000,2013-01-15T06:24:32.490013
720 ILCS 5 21-1.3(a) [10381],LT,18,M,2012-12-30T00:00:00,2012-1230008,Bond in Process,05-,,5000,2012-12-30T21:06:55.195285
720 ILCS 5 12-5 [950000],BK,18,M,2012-12-30T00:00:00,2012-1230007,None,02-D3-JJ-3-,RECKLESS CONDUCT,5000,2013-01-03T01:37:17.003632
720 ILCS 5 21-3(a) [10924],BK,53,M,2012-12-30T00:00:00,2012-1230006,NO BOND,TRANSIT,CRIMINAL TRESPASS TO LAND,10000,2013-01-04T05:51:46.148184
720 ILCS 5 12-2(a)(16) [16200],BK,39,M,2012-12-30T00:00:00,2012-1230005,NO BOND,C DISCH,AGG ASSAULT POLICE/SHERIFF EMP,25000,2013-01-12T05:25:28.811428
625 ILCS 5 6-303(a) [13526],BK,63,M,2012-12-30T00:00:00,2012-1230004,None,05-,,5000,2012-12-30T17:27:35.530833
720 ILCS 5 12-3.4(a)(1) [16128,WH,50,M,2012-12-30T00:00:00,2012-1230003,None,02-D2-R-2-R,VIOLATE ORDER PROTECTION,25000,2013-01-15T05:13:51.390334
720 ILCS 5 21-3(a)(1) [10876],BK,45,M,2012-12-30T00:00:00,2012-1230002,NO BOND,C DISCH,CRIM TRESPASS FIELD/MOTOR VEH,10000,2013-01-04T06:25:40.634277
720 ILCS 5 9-1(a)(1) [735000],BK,34,M,2012-12-30T00:00:00,2012-1230001,NO BOND,10-D-4-6-2,MURDER/INTENT TO KILL/INJURE,None,None
625 ILCS 5 11-501(a) [14019],WH,25,M,2012-12-29T00:00:00,2012-1229173,NO BOND,14-B3-3-25-,AGG DUI LIC SUSP OR REVOKED,None,None
720 ILCS 5 12-3.2 [930200],BK,20,M,2012-12-29T00:00:00,2012-1229172,Bond in Process,05-B-2-19-1,,None,2012-12-30T17:38:47.559439
720 ILCS 5 12-3.2 [930200],WH,29,M,2012-12-29T00:00:00,2012-1229171,NO BOND,05-C-2-1-1,,None,2012-12-30T22:55:53.090659
720 ILCS 600 3.5(a) [10613],BK,45,M,2012-12-29T00:00:00,2012-1229170,None,05-C-2-3-1,,5000,2012-12-31T00:15:30.527003
720 ILCS 5 12-3.2 [930200],LW,24,M,2012-12-29T00:00:00,2012-1229169,NO BOND,C DISCH,BATTERY/DOMESTIC,25000,2013-01-03T01:09:47.308197
720 ILCS 5 12-3.2(a)(1) [10416,LW,39,M,2012-12-29T00:00:00,2012-1229168,NO BOND,02-D4-RU-1-,DOMESTIC BATTERY/BODILY HARM,30000,None
720 ILCS 5 19-1(a) [1110000],BK,50,M,2012-12-29T00:00:00,2012-1229166,NO BOND,C SHIPMENT,BURGLARY,75000,2013-01-07T06:49:43.147565
720 ILCS 5 17-41(a)(ii) [16015,BK,27,M,2012-12-29T00:00:00,2012-1229164,NO BOND,C DISCH,COUNTERFIET CREDIT/DEBIT CARD,None,2013-01-03T00:27:31.749817
720 ILCS 5 16-1(a)(1) [1014500,BK,23,M,2012-12-29T00:00:00,2012-1229163,NO BOND,05-C-2-2-1,THEFT/UNAUTHD CONTROL/>300,25000,2013-01-04T05:50:35.516940
189950 ILCS 72 50 [16718],BK,58,M,2012-12-29T00:00:00,2012-1229162,NO BOND,03-A-1-5-1,RETAIL THEFT/DISP MERCH/,15000,2013-01-05T05:11:53.295134
720 ILCS 5 12-3.2(a)(1) [10416,BK,25,M,2012-12-29T00:00:00,2012-1229161,NO BOND,05-J-1-16-2,DOMESTIC BATTERY/BODILY HARM,15000,None
720 ILCS 5 19-3(a) [1120000],BK,28,M,2012-12-29T00:00:00,2012-1229160,None,02-D3-HH-3-,RESIDENTIAL BURGLARY,25000,None
730 ILCS 150 3(a) [11411],BK,49,M,2012-12-29T00:00:00,2012-1229159,None,11-AA-1-108,SEX OFFENDER REGIS/FALSE INFO,100000,2013-01-16T05:02:13.694715
720 ILCS 5 19-3(a) [1120000],BK,22,M,2012-12-29T00:00:00,2012-1229158,NO BOND,05-C-2-2-2,RESIDENTIAL BURGLARY,75000,2013-01-07T06:18:54.071359
625 ILCS 5 6-303(a) [14056],BK,52,M,2012-12-29T00:00:00,2012-1229157,NO BOND,02-D2-M-1-M,DRIVING RVK/SUSP DUI/SSS 2ND,10000,2013-01-09T06:31:21.087509
720 ILCS 5 9-1(a)(1) [735000],BK,35,M,2012-12-29T00:00:00,2012-1229156,NO BOND,01-C-2-14-1,MURDER/INTENT TO KILL/INJURE,None,2013-01-09T06:49:14.903935
730 ILCS 150 3(a-5) [12296],BK,54,M,2012-12-29T00:00:00,2012-1229155,None,02-D4-LL-1-,SEX OFFENDER FAIL REG EMPLOYER,50000,None
720 ILCS 5 31-6(c) [1350200],BK,29,M,2012-12-29T00:00:00,2012-1229153,NO BOND,06-L-2-22-2,THEFT STOLEN INTENT,None,None
720 ILCS 5 18-2(a)(2) [12366],BK,43,M,2012-12-29T00:00:00,2012-1229152,NO BOND,11-AC-1-109,ARMED ROBBERY/ARMED W/FIREARM,None,2013-01-04T05:24:39.220439
720 ILCS 5 16A-3(a) [1060000],BK,19,M,2012-12-29T00:00:00,2012-1229151,None,02-D3-CC-2-,RET THEFT/DISP MERCH/,20000,None
720 ILCS 5 18-2(a)(2) [12366],BK,23,M,2012-12-29T00:00:00,2012-1229150,None,05-C-2-5-1,ARMED ROBBERY/ARMED W/FIREARM,50000,2013-01-06T07:11:24.625933
720 ILCS 570 402(c) [5101110],BK,45,M,2012-12-29T00:00:00,2012-1229149,None,02-D2-P-2-P,POSS AMT CON SUB EXCEPT(A)/(D),50000,None
720 ILCS 570 402(c) [5101110],BK,28,M,2012-12-29T00:00:00,2012-1229148,NO BOND,05-A-2-21-1,POSS AMT CON SUB EXCEPT(A)/(D),50000,None
720 ILCS 5 12-4(b)(18) [13739],BK,48,M,2012-12-29T00:00:00,2012-1229147,NO BOND,11-AJ-3-312,AGG BTRY/OFFICER/EMPL/GOVT,None,2013-01-04T07:38:09.972155
189950 ILCS 72 50 [16718],BK,42,M,2012-12-29T00:00:00,2012-1229146,None,02-D4-OL-1-,RETAIL THEFT/DISP MERCH/,50000,None
625 ILCS 5 11-501(a) [14019],BK,59,M,2012-12-29T00:00:00,2012-1229145,NO BOND,03-B-1-6-2,AGG DUI LIC SUSP OR REVOKED,5000,2013-01-04T00:51:55.070586
625 ILCS 5 11-501(a) [14019],BK,26,M,2012-12-29T00:00:00,2012-1229143,None,05-F-1-13-1,AGG DUI LIC SUSP OR REVOKED,25000,None
,BK,38,M,2012-12-29T00:00:00,2012-1229142,,05-B-2-15-1,,None,2012-12-30T23:02:43.606630
720 ILCS 570 402(c) [5101110],BK,45,M,2012-12-29T00:00:00,2012-1229141,None,03-B-1-21-1,POSS AMT CON SUB EXCEPT(A)/(D),10000,2013-01-15T06:34:55.131205
720 ILCS 5 12-3.2(a)(1) [10416,BK,24,M,2012-12-29T00:00:00,2012-1229140,None,05-C-2-6-2,,25000,2012-12-30T23:04:16.604746
,BK,30,M,2012-12-29T00:00:00,2012-1229139,,03-AX-E1-1-,,None,2013-01-03T00:07:36.496259
720 ILCS 570 402(c) [5101110],BK,28,M,2012-12-29T00:00:00,2012-1229138,None,05-C-2-7-1,POSS AMT CON SUB EXCEPT(A)/(D),25000,2013-01-07T06:45:23.832322
625 ILCS 5 6-303(a) [14396],LT,30,M,2012-12-29T00:00:00,2012-1229137,None,05-B-2-14-1,,10000,2012-12-30T21:45:04.171169
720 ILCS 5 24-1.1(a) [1214500],BK,27,M,2012-12-29T00:00:00,2012-1229136,None,05-C-2-7-2,,50000,2012-12-30T23:49:17.623498
720 ILCS 570 402(c) [5101110],BK,31,M,2012-12-29T00:00:00,2012-1229135,NO BOND,05-C-2-2-1,POSS AMT CON SUB EXCEPT(A)/(D),75000,2012-12-30T21:40:13.066345
720 ILCS 5 16A-3(a) [1060000],WH,55,M,2012-12-29T00:00:00,2012-1229134,None,03-A-1-26-2,RET THEFT/DISP MERCH/,5000,None
720 ILCS 5 19-1(a) [1110000],LT,47,M,2012-12-29T00:00:00,2012-1229133,NO BOND,03-B-1-19-1,BURGLARY,None,None
720 ILCS 570 402(c) [5101110],BK,20,M,2012-12-29T00:00:00,2012-1229132,None,05-C-2-9-2,POSS AMT CON SUB EXCEPT(A)/(D),15000,2013-01-15T07:37:59.610834
,BK,19,M,2012-12-29T00:00:00,2012-1229128,,05-C-2-8-2,,None,2012-12-30T23:06:54.238478
720 ILCS 5 18-1(a) [1100000],BK,27,M,2012-12-29T00:00:00,2012-1229127,NO BOND,05-C-2-10-1,,None,2012-12-31T00:15:27.219557
720 ILCS 5 12-3.2(a)(1) [10416,WH,32,M,2012-12-29T00:00:00,2012-1229126,None,03-AX-A2-1-,,5000,2012-12-30T22:51:43.964265
720 ILCS 5 31-1 [1330000],BK,53,M,2012-12-29T00:00:00,2012-1229125,None,05-B-2-13-2,,5000,2012-12-30T22:44:30.563051
720 ILCS 5 12-3.05(d)(4) [1610,BK,42,M,2012-12-29T00:00:00,2012-1229124,None,11-AA-1-206,AGG BATTERY/PEACE OFFICER,300000,None
[460],WH,28,F,2012-12-29T00:00:00,2012-1229123,None,04-K-1-18-1,RETAIL THEFT,5000,None
720 ILCS 5 21-3(a) [10875],BK,40,M,2012-12-29T00:00:00,2012-1229122,None,05-B-2-13-1,,2000,2012-12-30T23:09:41.924099
720 ILCS 5 24-1.1(a) [1214500],BK,22,M,2012-12-29T00:00:00,2012-1229121,NO BOND,05-C-2-9-1,FELON POSS/USE WEAPON/FIREARM,50000,None
720 ILCS 570 402(c) [5101110],LT,53,M,2012-12-29T00:00:00,2012-1229120,NO BOND,11-BH-3-407,ARMED ROBBERY/NO FIREARM,15000,None
720 ILCS 5 18-1(a) [1100000],BK,32,M,2012-12-29T00:00:00,2012-1229119,None,05-C-2-10-2,ROBBERY,25000,2012-12-30T17:17:02.854271
720 ILCS 570 402(c) [5101110],BK,48,M,2012-12-29T00:00:00,2012-1229118,None,02-D4-ML-1-,POSS AMT CON SUB EXCEPT(A)/(D),50000,None
720 ILCS 550 4(c) [5015300],BK,32,M,2012-12-29T00:00:00,2012-1229116,NO BOND,05-C-2-18-2,POSS CANNABIS/10-30 GRAM/SUBQ,25000,None
189950 ILCS 72 50 [16718],BK,45,M,2012-12-29T00:00:00,2012-1229115,NO BOND,C DISCH,RETAIL THEFT/DISP MERCH/,100000,2013-01-05T05:25:25.837431
720 ILCS 5 18-1(a) [1100000],LT,42,M,2012-12-29T00:00:00,2012-1229114,None,02-D2-S-2-S,ROBBERY,40000,None
625 ILCS 5 11-501(a) [13665],BK,36,F,2012-12-29T00:00:00,2012-1229113,None,04-P-1-10-1,DUI LIC SUSP OR REVOKED,10000,None
625 ILCS 5 6-303(a) [5880000],BK,39,M,2012-12-29T00:00:00,2012-1229112,NO BOND,03-B-3-28-2,DRIVING ON SUSPENDED LICENSE,10000,None
720 ILCS 550 5.2(d) [10365],BK,23,M,2012-12-29T00:00:00,2012-1229111,NO BOND,14-B4-4-11-,MFG/DEL CAN 2.5,None,None
720 ILCS 550 5(c) [5020200],BK,26,M,2012-12-29T00:00:00,2012-1229110,NO BOND,TRANSIT,MFG/DEL CANNABIS/10-30 GRAMS,None,2013-01-08T05:04:44.280942
720 ILCS 5 21-1(1)(a) [1140000,BK,22,M,2012-12-29T00:00:00,2012-1229109,Bond in Process,C DISCH,KNOWINGLY DAMAGE PROP,10000,2013-01-03T00:18:45.087680
189950 ILCS 72 50 [16718],AS,26,M,2012-12-29T00:00:00,2012-1229108,NO BOND,14-B3-3-30-,RETAIL THEFT/DISP MERCH/,25000,None
720 ILCS 5 31-1(a) [10058],WH,34,M,2012-12-29T00:00:00,2012-1229107,NO BOND,11-CB-1-110,RESIST/PEACE OFFICER/CORR EMP,5000,2013-01-04T06:46:56.875454
720 ILCS 5 19-3(a) [1120000],LT,33,M,2012-12-29T00:00:00,2012-1229103,None,03-B-3-9-1,RESIDENTIAL BURGLARY,50000,None
720 ILCS 5 19-3(a) [1120000],LT,27,M,2012-12-29T00:00:00,2012-1229102,None,05-A-2-13-2,RESIDENTIAL BURGLARY,75000,None
720 ILCS 5 12-3.4(a)(1) [16128,WH,35,M,2012-12-29T00:00:00,2012-1229101,None,03-B-3-25-1,VIOLATE ORDER PROTECTION,15000,2013-01-07T05:09:09.254107
720 ILCS 570 402(c) [5101110],BK,44,F,2012-12-29T00:00:00,2012-1229100,None,04-N-2-15-2,POSS AMT CON SUB EXCEPT(A)/(D),10000,None
720 ILCS 5 12-1(a) [920000],BK,28,F,2012-12-29T00:00:00,2012-1229099,None,17-WR-N-A-2,,1000,2012-12-30T22:42:41.774566
,BK,23,F,2012-12-29T00:00:00,2012-1229098,,04-P-1-2-1,,None,2012-12-30T23:18:39.979489
720 ILCS 5 19-4(a) [1120500],BK,33,M,2012-12-29T00:00:00,2012-1229096,NO BOND,C DISCH,CRIM TRESPASS TO RESIDENCE,5000,2013-01-02T23:19:14.073466
720 ILCS 5 11-14(a) [12242],WH,26,F,2012-12-29T00:00:00,2012-1229093,Bond in Process,04-I-2-8-2,,None,2013-01-14T06:43:59.151994
720 ILCS 5 11-14(a) [855900],BK,24,F,2012-12-29T00:00:00,2012-1229091,None,04-Q-1-1-2,PROSTITUTION,10000,2013-01-03T01:02:58.060293
720 ILCS 5 12-3.2(a)(2) [10418,BK,35,F,2012-12-29T00:00:00,2012-1229090,None,04-I-1-18-2,,1000,2012-12-30T16:48:03.927201
,WH,27,F,2012-12-29T00:00:00,2012-1229087,,04-J-2-4-1,,None,2013-01-09T07:48:10.726145
720 ILCS 5 11-14(a) [12379],BK,32,F,2012-12-29T00:00:00,2012-1229086,NO BOND,04-K-2-10-1,PROSTITUTION/2ND,None,2013-01-16T05:14:24.566097
720 ILCS 570 402(c) [5101110],WH,33,F,2012-12-29T00:00:00,2012-1229084,NO BOND,04-J-2-3-2,POSS AMT CON SUB EXCEPT(A)/(D),None,2013-01-18T07:15:55.227250
720 ILCS 570 402(c) [5101110],BK,22,M,2012-12-29T00:00:00,2012-1229083,None,05-C-2-13-1,POSS AMT CON SUB EXCEPT(A)/(D),5000,None
720 ILCS 5 12-1(a) [920000],BK,39,F,2012-12-29T00:00:00,2012-1229082,NO BOND,04-J-1-8-2,ASSAULT,5000,2013-01-06T07:37:52.560267
625 ILCS 5 6-303(a) [14056],BK,41,M,2012-12-29T00:00:00,2012-1229081,None,03-B-1-10-2,DRIVING RVK/SUSP DUI/SSS 2ND,3000,None
720 ILCS 570 402(c) [5101110],BK,58,M,2012-12-29T00:00:00,2012-1229079,None,01-G-1-9-1,POSS AMT CON SUB EXCEPT(A)/(D),50000,None
720 ILCS 550 4(a) [5015000],BK,29,M,2012-12-29T00:00:00,2012-1229078,None,05-B-2-10-2,,1000,2012-12-30T22:17:31.188364
720 ILCS 5 12-3.2(a)(1) [10416,LT,46,M,2012-12-29T00:00:00,2012-1229077,None,03-B-3-25-2,DOMESTIC BATTERY/BODILY HARM,5000,2013-01-09T05:35:11.058886
720 ILCS 570 402(c) [5101110],BK,32,F,2012-12-29T00:00:00,2012-1229076,Bond in Process,TRANSIT,POSS AMT CON SUB EXCEPT(A)/(D),25000,2013-01-05T05:06:17.709445
720 ILCS 570 402(c) [5101110],BK,34,M,2012-12-29T00:00:00,2012-1229075,None,02-D4-OL-1-,POSS AMT CON SUB EXCEPT(A)/(D),15000,2013-01-17T06:25:18.689230
720 ILCS 5 12-3.2(a)(1) [10416,LT,30,M,2012-12-29T00:00:00,2012-1229074,None,02-D3-EE-2-,DOMESTIC BATTERY/BODILY HARM,10000,2013-01-14T05:31:35.021233
720 ILCS 570 402(c) [5101110],BK,20,F,2012-12-29T00:00:00,2012-1229073,None,04-M-1-19-2,POSS AMT CON SUB EXCEPT(A)/(D),10000,None
720 ILCS 5 21-2 [1155000],BK,48,M,2012-12-29T00:00:00,2012-1229072,NO BOND,05-C-2-20-2,CRIMINAL TRESPASS TO VEHICLES,5000,2013-01-09T06:51:39.734566
720 ILCS 550 4(d) [5015400],BK,29,M,2012-12-29T00:00:00,2012-1229071,None,05-C-2-20-1,POSS CANNABIS/30-500 GRAM/1ST,10000,None
625 ILCS 5 11-501(a) [13666],LT,25,M,2012-12-29T00:00:00,2012-1229070,None,03-AX-A2-1-,,25000,2012-12-30T23:11:32.037596
720 ILCS 5 12-3.2(a)(1) [10416,LT,39,M,2012-12-29T00:00:00,2012-1229069,None,03-B-3-18-1,DOMESTIC BATTERY/BODILY HARM,5000,2013-01-14T06:36:13.279953
720 ILCS 550 4(b) [5015100],LB,38,M,2012-12-29T00:00:00,2012-1229066,NO BOND,TRANSIT,POSSESS CANNABIS/2.5-10 GRAMS,5000,2013-01-02T23:28:36.252761
720 ILCS 5 12-3.2(a)(1) [10416,LW,43,M,2012-12-29T00:00:00,2012-1229065,NO BOND,GE 02 OUT,DOMESTIC BATTERY/BODILY HARM,20000,2012-12-30T21:40:52.671362
625 ILCS 5 12-211(a) [6560000],LW,21,M,2012-12-29T00:00:00,2012-1229063,None,02-D4-MU-1-,"HEADLIGHT VIO/1ST,2ND",5000,2013-01-09T07:06:52.999185
,WH,31,M,2012-12-29T00:00:00,2012-1229062,,C DISCH,,None,2013-01-07T07:07:34.591394
720 ILCS 5 19-1(a) [1110000],BK,17,M,2012-12-29T00:00:00,2012-1229060,None,02-D4-NU-1-,BURGLARY,25000,None
720 ILCS 570 402(c) [5101110],BK,44,M,2012-12-29T00:00:00,2012-1229059,None,05-B-1-5-1,POSS AMT CON SUB EXCEPT(A)/(D),50000,None
720 ILCS 570 402(c) [5101110],LT,35,M,2012-12-29T00:00:00,2012-1229058,NO BOND,05-F-1-4-2,POSS AMT CON SUB EXCEPT(A)/(D),None,None
720 ILCS 5 24-1.6(a)(1) [12474,BK,20,M,2012-12-29T00:00:00,2012-1229057,None,05-C-2-13-2,,50000,2012-12-30T21:52:38.288892
,BK,35,M,2012-12-29T00:00:00,2012-1229056,,C DISCH,,None,2013-01-04T07:18:32.919946
720 ILCS 570 407(b)(2) [512539,BK,28,M,2012-12-29T00:00:00,2012-1229055,NO BOND,05-C-2-14-2,AMT NARC SCHED I/II/SCH/HS/PK,None,2013-01-04T07:01:21.659997
720 ILCS 550 5.2(d) [10365],BK,20,M,2012-12-29T00:00:00,2012-1229054,None,05-C-2-14-1,MFG/DEL CAN 2.5,15000,2013-01-04T06:27:36.106180
720 ILCS 5 18-2(a)(2) [12366],BK,19,M,2012-12-29T00:00:00,2012-1229051,NO BOND,05-C-2-15-1,ARMED ROBBERY/ARMED W/FIREARM,90000,None
625 ILCS 5 11-501(a)(2) [14722,LT,20,M,2012-12-29T00:00:00,2012-1229047,None,02-D4-MU-1-,DRVG UNDER INFLU OF ALCOHOL,10000,2013-01-15T05:27:55.085334
720 ILCS 5 12-3.2(a)(1) [10416,BK,25,M,2012-12-29T00:00:00,2012-1229045,NO BOND,05-C-2-16-1,,None,2012-12-30T20:59:16.859804
720 ILCS 5 21-1(1)(f) [1140600,BK,17,M,2012-12-29T00:00:00,2012-1229043,NO BOND,02-D4-OU-1-,OTHER DAMAGE/,1000,2013-01-17T07:00:48.705485
720 ILCS 5 21-3(a) [10924],LT,30,M,2012-12-29T00:00:00,2012-1229042,None,03-AX-A2-1-,,3500,2012-12-30T21:50:48.119316
720 ILCS 5 18-1(a) [1100000],LT,20,M,2012-12-29T00:00:00,2012-1229041,NO BOND,05-C-2-15-2,,None,2012-12-30T23:21:56.188397
720 ILCS 5 12-3.2(a)(1) [10416,BK,25,M,2012-12-29T00:00:00,2012-1229040,None,05-C-2-16-2,DOMESTIC BATTERY/BODILY HARM,20000,2013-01-14T06:30:42.059950
720 ILCS 5 24-1.6(a)(2) [13535,BK,17,M,2012-12-29T00:00:00,2012-1229037,None,05-C-2-18-1,AGG UUW W/ BODY ARMOR/PUBLIC,50000,2013-01-11T07:28:19.986492
720 ILCS 5 12-3.2(a)(2) [10418,BK,29,M,2012-12-29T00:00:00,2012-1229035,None,02-D4-LU-1-,DOMESTIC BTRY/PHYSICAL CONTACT,10000,2013-01-14T05:13:16.023840
720 ILCS 550 4(b) [5015100],BK,34,M,2012-12-29T00:00:00,2012-1229030,None,05-B-2-4-2,,2000,2012-12-30T22:54:58.699723
720 ILCS 5 26-1(a)(1) [1255000,WH,30,M,2012-12-29T00:00:00,2012-1229028,None,05-J-2-3-1,,20000,2012-12-30T21:17:34.820169
720 ILCS 550 5(c) [5020200],BK,25,M,2012-12-29T00:00:00,2012-1229027,NO BOND,C DISCH,MFG/DEL CANNABIS/10-30 GRAMS,10000,2013-01-16T06:24:27.011984
720 ILCS 570 402(c) [5101110],LT,24,M,2012-12-29T00:00:00,2012-1229026,NO BOND,05-A-1-14-1,POSS AMT CON SUB EXCEPT(A)/(D),None,2013-01-19T06:48:42.500268
720 ILCS 5 24-1.1(a) [1214500],BK,34,M,2012-12-29T00:00:00,2012-1229025,None,05-F-1-13-2,FELON POSS/USE WEAPON/FIREARM,75000,None
720 ILCS 5 21-1(1)(a) [1140000,LW,39,M,2012-12-29T00:00:00,2012-1229024,Bond in Process,TRANSIT,,None,2012-12-30T19:01:18.096725
430 ILCS 65 2(a)(1) [10973],BK,21,M,2012-12-29T00:00:00,2012-1229022,None,05-B-2-4-1,,5000,2012-12-30T21:22:03.087340
625 ILCS 5 11-501(a)(2) [14722,BK,35,M,2012-12-29T00:00:00,2012-1229021,None,02-D4-NU-1-,DRVG UNDER INFLU OF ALCOHOL,6000,2013-01-03T00:15:45.669923
720 ILCS 5 21-3(a) [10924],BK,55,M,2012-12-29T00:00:00,2012-1229019,None,02-D3-CC-2-,CRIMINAL TRESPASS TO LAND,5000,2013-01-18T06:55:24.906632
720 ILCS 5 12-3.2(a)(1) [10416,BK,36,M,2012-12-29T00:00:00,2012-1229018,NO BOND,GE 02 OUT,DOMESTIC BATTERY/BODILY HARM,20000,2013-01-15T06:36:40.213350
720 ILCS 570 407(b)(2) [512539,BK,20,M,2012-12-29T00:00:00,2012-1229016,NO BOND,05-C-2-19-1,AMT NARC SCHED I/II/SCH/HS/PK,None,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,40,M,2012-12-29T00:00:00,2012-1229015,None,11-BF-3-310,DOMESTIC BATTERY/BODILY HARM,25000,2013-01-14T05:13:50.227436
720 ILCS 550 4(b) [5015100],BK,43,M,2012-12-29T00:00:00,2012-1229014,NO BOND,TRANSIT,POSSESS CANNABIS/2.5-10 GRAMS,2000,2013-01-03T00:45:10.956889
720 ILCS 5 21-3(a)(2) [11496],BK,51,M,2012-12-29T00:00:00,2012-1229012,None,02-D1-C-2-C,,10000,2012-12-30T21:25:59.094825
720 ILCS 5 24-1(a)(10) [10656],BK,36,M,2012-12-29T00:00:00,2012-1229011,None,02-D1-C-2-C,CARRY/POSSES FIREARM IN PUBLIC,10000,2013-01-15T06:26:10.769053
720 ILCS 550 4(b) [5015100],BK,24,M,2012-12-29T00:00:00,2012-1229010,Bond in Process,05-C-2-17-2,BATTERY/DOMESTIC,10000,2013-01-03T00:09:12.742681
720 ILCS 5 21-3(a)(2) [11496],BK,20,M,2012-12-29T00:00:00,2012-1229009,None,05-B-2-1-1,,5000,2012-12-30T17:55:05.688750
720 ILCS 5 12-3.2(a)(1) [10416,BK,23,M,2012-12-29T00:00:00,2012-1229008,NO BOND,11-CC-1-206,DOMESTIC BATTERY/BODILY HARM,None,2013-01-15T07:04:56.724072
720 ILCS 5 21-3(a)(2) [11496],BK,20,M,2012-12-29T00:00:00,2012-1229007,NO BOND,C DISCH,CRIMINAL TRESPASS TO LAND,10000,2013-01-08T05:07:23.296251
720 ILCS 5 21-1(1)(a) [1140000,BK,37,M,2012-12-29T00:00:00,2012-1229006,None,02-D4-PL-1-,,5000,2012-12-30T20:51:15.782900
720 ILCS 5 12-3.2(a)(1) [10416,BK,32,M,2012-12-29T00:00:00,2012-1229005,None,05-J-2-3-2,DOMESTIC BATTERY/BODILY HARM,20000,2013-01-09T06:34:32.577489
720 ILCS 5 21-1.3(a) [10381],WH,39,M,2012-12-29T00:00:00,2012-1229003,NO BOND,C DISCH,CRIMINAL DEFACEMENT PROP,20000,2013-01-03T01:01:34.463435
720 ILCS 5 12-3.2(a)(2) [10418,BK,23,M,2012-12-29T00:00:00,2012-1229002,Bond in Process,C DISCH,DOMESTIC BTRY/PHYSICAL CONTACT,30000,2013-01-03T00:09:40.517318
720 ILCS 5 12-3.2 [930200],WH,30,M,2012-12-28T00:00:00,2012-1228163,NO BOND,10-A-3-10-1,BATTERY/DOMESTIC,100000,None
720 ILCS 5 12-4(b)(18) [13739],BK,29,M,2012-12-28T00:00:00,2012-1228162,NO BOND,C DISCH,AGG BTRY/OFFICER/EMPL/GOVT,None,2013-01-12T05:30:07.465810
720 ILCS 5 9-1(a)(1) [735000],BK,24,M,2012-12-28T00:00:00,2012-1228161,NO BOND,01-H-4-5-2,MURDER/INTENT TO KILL/INJURE,None,None
720 ILCS 5 12-3.05(d)(4) [1610,BK,38,M,2012-12-28T00:00:00,2012-1228160,NO BOND,11-CG-3-412,AGG BATTERY/PEACE OFFICER,None,None
720 ILCS 570 407(b)(1) [512538,BK,45,M,2012-12-28T00:00:00,2012-1228159,NO BOND,01-A-1-15-2,MFG/DEL HEROIN/SCH/PUB HS/PK,None,2012-12-28T23:25:29.403561
720 ILCS 5 12-3.05(d)(4) [1610,LW,24,M,2012-12-28T00:00:00,2012-1228158,NO BOND,01-A-1-3-2,,None,2012-12-31T00:16:13.334792
720 ILCS 5 12-4(b)(6) [935600],BK,24,M,2012-12-28T00:00:00,2012-1228157,NO BOND,05-G-2-17-2,AGG BATTERY/PEACE OFFICER,500000,None
